id,variant_name,type,pattern,scenario,impact,example
1386,Reentrancy Variant 1386,Cross-function reentrancy,Upgradeable proxy storage collision,Variant #1386: Cross-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
1387,Reentrancy Variant 1387,Cross-contract reentrancy,Balance checked after transfer,Variant #1387: Cross-contract reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
1388,Reentrancy Variant 1388,ERC777-hook reentrancy,Multiple entry points sharing same state variable,Variant #1388: ERC777-hook reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Attacker leverages ERC777 tokens to reenter before balance is updated.
1389,Reentrancy Variant 1389,Pull-payment reentrancy,Balance checked after transfer,Variant #1389: Pull-payment reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Attacker leverages ERC777 tokens to reenter before balance is updated.
1390,Reentrancy Variant 1390,Single-function reentrancy,Multiple entry points sharing same state variable,Variant #1390: Single-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
1391,Reentrancy Variant 1391,Cross-function reentrancy,Fallback invoked before state lock,Variant #1391: Cross-function reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1392,Reentrancy Variant 1392,ERC777-hook reentrancy,Upgradeable proxy storage collision,Variant #1392: ERC777-hook reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1393,Reentrancy Variant 1393,Single-function reentrancy,Multiple entry points sharing same state variable,Variant #1393: Single-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1394,Reentrancy Variant 1394,Recursive fallback reentrancy,Missing reentrancy guard,Variant #1394: Recursive fallback reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1395,Reentrancy Variant 1395,Cross-contract reentrancy,External call inside loop,Variant #1395: Cross-contract reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Draining rewards pool,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1396,Reentrancy Variant 1396,Pull-payment reentrancy,External call inside loop,Variant #1396: Pull-payment reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
1397,Reentrancy Variant 1397,Reentrancy via delegatecall,External call inside loop,Variant #1397: Reentrancy via delegatecall caused by External call inside loop. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
1398,Reentrancy Variant 1398,Single-function reentrancy,Balance checked after transfer,Variant #1398: Single-function reentrancy caused by Balance checked after transfer. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
1399,Reentrancy Variant 1399,Reentrancy via delegatecall,External call inside loop,Variant #1399: Reentrancy via delegatecall caused by External call inside loop. Attacker reenters contract flow before state update.,Bypassing access restrictions,Attacker leverages ERC777 tokens to reenter before balance is updated.
1400,Reentrancy Variant 1400,Cross-function reentrancy,Multiple entry points sharing same state variable,Variant #1400: Cross-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
1401,Reentrancy Variant 1401,ERC777-hook reentrancy,Upgradeable proxy storage collision,Variant #1401: ERC777-hook reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Cross-function: deposit() sets state after external token transfer().
1402,Reentrancy Variant 1402,Reentrancy via delegatecall,State updated after external call,Variant #1402: Reentrancy via delegatecall caused by State updated after external call. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
1403,Reentrancy Variant 1403,Cross-contract reentrancy,State updated after external call,Variant #1403: Cross-contract reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Bypassing access restrictions,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1404,Reentrancy Variant 1404,Reentrancy via delegatecall,Unsafe external call to attacker contract,Variant #1404: Reentrancy via delegatecall caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
1405,Reentrancy Variant 1405,Cross-function reentrancy,Fallback invoked before state lock,Variant #1405: Cross-function reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
1406,Reentrancy Variant 1406,Read-only reentrancy,Upgradeable proxy storage collision,Variant #1406: Read-only reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
1407,Reentrancy Variant 1407,Pull-payment reentrancy,Hooks triggered without control flow guard,Variant #1407: Pull-payment reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1408,Reentrancy Variant 1408,Single-function reentrancy,Multiple entry points sharing same state variable,Variant #1408: Single-function reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Token supply manipulation,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1409,Reentrancy Variant 1409,ERC777-hook reentrancy,Fallback invoked before state lock,Variant #1409: ERC777-hook reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
1410,Reentrancy Variant 1410,Reentrancy via delegatecall,Missing reentrancy guard,Variant #1410: Reentrancy via delegatecall caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
